Prp,Dsg,Avl,Shp,Grp,Use,D,B,T,W,BT,HW,K,K1,Dnom,Mass,A,Ix,Sx,Rx,Zx,Iy,Sy,Ry,Zy,J,Cw,Wn,Sw,Qf,Qw,SA,Ds_i,Dn_i,Wt_i
,,,,,,,,,,,,,,,,,10^6,10^3,,10^3,10^6,10^3,,10^3,10^3,10^9,,10^6,10^3,10^3,,,,
W: Wide-Flange Shapes,,,,,,mm,mm,mm,mm,,,mm,mm,mm,kg/m,mm^2,mm^4,mm^3,mm,mm^3,mm^4,mm^3,mm,mm^3,mm^4,mm^6,mm^2,mm^4,mm^3,mm^3,m,,in,lb/ft
,W920x345,*,1,,3,943,308,39.9,22.1,3.86,39.1,62,31,920,345,44000,6260,13300,377,15300,195,1270,66.6,2000,16500,39800,69500,214,2580,7610,3.07,W36x232,36,232
,W920x313,*,1,,3,932,309,34.5,21.1,4.48,40.9,56,31,920,313,39800,5480,11800,371,13600,170,1100,65.4,1750,11600,34300,69300,185,2230,6750,3.06,W36x210,36,210
,W920x289,*,1,,3,927,308,32,19.4,4.81,44.5,54,30,920,289,36800,5050,10900,370,12600,156,1020,65.2,1600,9230,31300,68900,170,2070,6220,3.05,W36x194,36,194
,W920x271,*,1,,3,923,307,30,18.4,5.12,46.9,52,30,920,271,34600,4720,10200,369,11800,145,946,64.8,1490,7700,28900,68500,158,1930,5830,3.04,W36x182,36,182
,W920x253,*,1,,3,919,306,27.9,17.3,5.48,49.9,50,29,920,253,32300,4380,9520,368,11000,134,874,64.3,1370,6270,26500,68200,145,1790,5420,3.03,W36x170,36,170
,W920x238,*,1,,3,915,305,25.9,16.5,5.89,52.3,48,29,920,238,30400,4060,8880,366,10200,123,806,63.6,1270,5150,24300,67800,134,1660,5050,3.02,W36x160,36,160
,W920x223,*,1,,3,911,304,23.9,15.9,6.36,54.3,46,28,920,223,28600,3770,8270,363,9540,112,738,62.7,1160,4220,22100,67400,122,1530,4700,3.01,W36x150,36,150
,W920x201,*,1,,3,903,304,20.1,15.2,7.56,56.8,42,28,920,201,25600,3250,7200,356,8360,94.4,621,60.7,982,2910,18400,67100,103,1280,4110,2.99,W36x135,36,135
*,W840x576,*,1,,3,913,411,57.9,32,3.55,24.9,79,36,840,576,73400,10100,22200,371,25600,672,3270,95.7,5100,61700,123000,87900,523,4690,12700,3.41,W33x387,33,387
,W840x527,*,1,,3,903,409,53.1,29.5,3.85,27,75,35,840,527,67300,9150,20300,369,23300,607,2970,95,4620,47800,110000,86900,472,4280,11600,3.38,W33x354,33,354
,W840x473,*,1,,3,893,406,48,26.4,4.23,30.2,70,33,840,473,60400,8130,18200,367,20800,537,2640,94.3,4100,35100,95800,85800,418,3850,10300,3.36,W33x318,33,318
,W840x433,*,1,,3,885,404,43.9,24.4,4.6,32.7,65,32,840,433,55300,7360,16600,365,18900,484,2390,93.5,3710,27000,85500,85000,377,3500,9400,3.34,W33x291,33,291
,W840x392,*,1,,3,877,401,39.9,22.1,5.03,36.1,61,31,840,392,50000,6600,15000,363,17000,430,2140,92.7,3310,20300,75300,83900,336,3160,8450,3.31,W33x263,33,263
,W840x359,*,1,,3,868,403,35.6,21.1,5.66,37.8,57,31,840,359,45800,5920,13600,359,15400,389,1930,92.1,2980,15100,67400,83900,301,2830,7650,3.31,W33x241,33,241
,W840x329,*,1,,3,862,401,32.4,19.7,6.19,40.5,54,30,840,329,42000,5360,12400,357,14000,349,1740,91.1,2690,11600,60000,83200,270,2560,6950,3.29,W33x221,33,221
,W840x299,*,1,,3,855,400,29.2,18.2,6.85,43.8,51,29,840,299,38200,4800,11200,355,12700,312,1560,90.4,2410,8660,53200,82600,241,2300,6270,3.27,W33x201,33,201
*,W840x251,*,1,,3,859,292,31,17,4.71,46.9,53,29,840,251,31900,3860,9000,348,10300,129,884,63.6,1380,7350,22100,60400,137,1760,5100,2.85,W33x169,33,169
,W840x226,*,1,,3,851,294,26.8,16.1,5.49,49.5,49,28,840,226,28900,3400,7990,343,9160,114,774,62.8,1210,5140,19300,60600,119,1530,4530,2.85,W33x152,33,152
,W840x210,*,1,,3,846,293,24.4,15.4,6,51.8,46,28,840,210,26800,3110,7340,340,8430,103,700,61.8,1100,4050,17300,60200,108,1390,4160,2.83,W33x141,33,141
,W840x193,*,1,,3,840,292,21.7,14.7,6.73,54.2,44,28,840,193,24700,2780,6630,336,7620,90.3,618,60.5,971,3050,15100,59700,94.6,1230,3760,2.82,W33x130,33,130
,W840x176,*,1,,3,835,292,18.8,14,7.77,57,41,27,840,176,22400,2460,5900,331,6810,78.2,536,59.1,844,2220,13000,59600,81.8,1070,3350,2.81,W33x118,33,118
*,W760x582,*,1,,3,843,396,62,34.5,3.19,20.8,84,37,760,582,74300,8620,20400,341,23800,644,3250,93.2,5080,72200,98300,77300,475,4380,11800,3.2,W30x391,30,391
,W760x531,*,1,,3,833,393,56.9,31.5,3.45,22.8,78,36,760,531,67700,7770,18600,339,21600,578,2940,92.4,4580,55600,87000,76300,426,3990,10700,3.18,W30x357,30,357
,W760x484,*,1,,3,823,390,52.1,29,3.74,24.8,74,35,760,484,61800,6990,17000,336,19500,517,2650,91.4,4120,42800,76800,75200,382,3620,9700,3.15,W30x326,30,326
,W760x434,*,1,,3,813,387,47,25.9,4.12,27.8,69,33,760,434,55300,6190,15200,334,17400,455,2350,90.7,3650,31300,66800,74100,337,3250,8640,3.12,W30x292,30,292
,W760x389,*,1,,3,803,385,41.9,23.6,4.59,30.5,63,32,760,389,49600,5450,13600,332,15500,399,2070,89.8,3210,22500,57800,73300,295,2880,7660,3.1,W30x261,30,261
,W760x350,*,1,,3,795,382,38.1,21.1,5.01,34.1,60,31,760,350,44600,4870,12200,330,13900,355,1860,89.1,2870,16800,50800,72300,263,2600,6870,3.08,W30x235,30,235
,W760x314,*,1,,3,786,384,33.4,19.7,5.75,36.5,55,30,760,314,40200,4290,10900,327,12300,316,1640,88.7,2540,11800,44700,72200,232,2290,6100,3.07,W30x211,30,211
,W760x284,*,1,,3,779,382,30.1,18,6.35,39.9,52,29,760,284,36300,3830,9820,325,11100,280,1470,87.9,2260,8750,39300,71500,206,2050,5470,3.05,W30x191,30,191
,W760x257,*,1,,3,773,381,27.1,16.6,7.03,43.3,49,28,760,257,32900,3430,8880,323,9970,250,1310,87.2,2020,6510,34800,71000,183,1840,4920,3.04,W30x173,30,173
*,W760x220,*,1,,3,779,266,30,16.5,4.43,43.6,52,29,760,220,28100,2780,7140,315,8190,94.4,710,58,1110,6050,13200,49800,99.4,1400,4050,2.59,W30x148,30,148
,W760x196,*,1,,3,770,268,25.4,15.6,5.28,46.1,47,28,760,196,25100,2400,6240,309,7170,81.7,610,57.1,959,4040,11300,49900,84.9,1190,3540,2.58,W30x132,30,132
,W760x185,*,1,,3,766,267,23.6,14.9,5.66,48.2,45,28,760,185,23500,2230,5820,308,6690,75.1,563,56.5,884,3330,10300,49600,78.1,1100,3300,2.57,W30x124,30,124
,W760x173,*,1,,3,762,267,21.6,14.4,6.18,49.9,43,28,760,173,22100,2060,5400,305,6210,68.7,515,55.7,810,2690,9420,49400,71.3,1010,3070,2.56,W30x116,30,116
,W760x161,*,1,,3,758,266,19.3,13.8,6.89,52.1,41,27,760,161,20400,1860,4900,302,5660,60.7,457,54.5,720,2070,8280,49100,63,899,2790,2.55,W30x108,30,108
,W760x147,*,1,,3,753,265,17,13.2,7.79,54.5,39,27,760,147,18700,1660,4410,298,5100,52.9,399,53.1,631,1560,7160,48800,54.9,788,2510,2.54,W30x99,30,99
,W760x134,*,1,,3,750,264,15.5,11.9,8.52,60.4,37,26,760,134,17000,1500,4010,297,4630,47.7,361,53,568,1180,6430,48500,49.6,718,2270,2.53,W30x90,30,90
*,W690x802,*,1,,3,826,387,89.9,50,2.15,12.9,112,45,690,802,102000,10600,25700,322,30900,875,4520,92.5,7150,206000,119000,71200,619,5580,15400,3.1,W27x539,27,539
